Sujeitos,Itens,Ant,Verbo,RT,Pos
1,A,np,pl,480,p7
2,A,np,pl,328,p7
3,A,np,pl,1128,p7
4,A,np,pl,576,p7
5,A,np,pl,800,p7
6,A,np,pl,751,p7
7,A,np,pl,736,p7
8,A,np,pl,1576,p7
9,A,np,pl,1112,p7
10,A,np,pl,536,p7
11,A,np,pl,664,p7
12,A,np,pl,1064,p7
13,A,np,pl,920,p7
14,A,np,pl,2280,p7
15,A,np,pl,264,p7
16,A,np,pl,568,p7
17,A,np,pl,1208,p7
18,A,np,pl,920,p7
19,A,np,pl,1128,p7
20,A,np,pl,872,p7
21,A,np,pl,704,p7
22,A,np,pl,616,p7
23,A,np,pl,448,p7
24,A,np,pl,464,p7
25,A,np,pl,328,p7
26,A,np,pl,480,p7
27,A,np,pl,400,p7
28,A,np,pl,528,p7
29,A,np,pl,488,p7
30,A,np,pl,336,p7
31,A,np,pl,1392,p7
32,A,np,pl,152,p7
1,B,np,pl,560,p7
2,B,np,pl,2312,p7
3,B,np,pl,983,p7
4,B,np,pl,368,p7
5,B,np,pl,407,p7
6,B,np,pl,696,p7
7,B,np,pl,480,p7
8,B,np,pl,1632,p7
9,B,np,pl,424,p7
10,B,np,pl,488,p7
11,B,np,pl,824,p7
12,B,np,pl,600,p7
13,B,np,pl,816,p7
14,B,np,pl,608,p7
15,B,np,pl,912,p7
16,B,np,pl,688,p7
17,B,np,pl,760,p7
18,B,np,pl,712,p7
19,B,np,pl,464,p7
20,B,np,pl,696,p7
21,B,np,pl,1608,p7
22,B,np,pl,496,p7
23,B,np,pl,528,p7
24,B,np,pl,344,p7
25,B,np,pl,304,p7
26,B,np,pl,864,p7
27,B,np,pl,616,p7
28,B,np,pl,640,p7
29,B,np,pl,528,p7
30,B,np,pl,688,p7
31,B,np,pl,512,p7
32,B,np,pl,136,p7
1,C,np,pl,824,p7
2,C,np,pl,640,p7
3,C,np,pl,816,p7
4,C,np,pl,640,p7
5,C,np,pl,432,p7
6,C,np,pl,616,p7
7,C,np,pl,208,p7
8,C,np,pl,1104,p7
9,C,np,pl,336,p7
10,C,np,pl,728,p7
11,C,np,pl,744,p7
12,C,np,pl,583,p7
13,C,np,pl,2536,p7
14,C,np,pl,1048,p7
15,C,np,pl,232,p7
16,C,np,pl,528,p7
17,C,np,pl,368,p7
18,C,np,pl,752,p7
19,C,np,pl,496,p7
20,C,np,pl,792,p7
21,C,np,pl,1528,p7
22,C,np,pl,736,p7
23,C,np,pl,976,p7
24,C,np,pl,312,p7
25,C,np,pl,248,p7
26,C,np,pl,1304,p7
27,C,np,pl,408,p7
28,C,np,pl,1400,p7
29,C,np,pl,800,p7
30,C,np,pl,368,p7
31,C,np,pl,864,p7
32,C,np,pl,144,p7
1,D,np,pl,464,p7
2,D,np,pl,360,p7
3,D,np,pl,1528,p7
4,D,np,pl,672,p7
5,D,np,pl,536,p7
6,D,np,pl,695,p7
7,D,np,pl,248,p7
8,D,np,pl,1064,p7
9,D,np,pl,368,p7
10,D,np,pl,592,p7
11,D,np,pl,744,p7
12,D,np,pl,1328,p7
13,D,np,pl,1024,p7
14,D,np,pl,400,p7
15,D,np,pl,504,p7
16,D,np,pl,352,p7
17,D,np,pl,1656,p7
18,D,np,pl,808,p7
19,D,np,pl,552,p7
20,D,np,pl,864,p7
21,D,np,pl,1864,p7
22,D,np,pl,904,p7
23,D,np,pl,808,p7
24,D,np,pl,416,p7
25,D,np,pl,280,p7
26,D,np,pl,800,p7
27,D,np,pl,488,p7
28,D,np,pl,1480,p7
29,D,np,pl,744,p7
30,D,np,pl,200,p7
31,D,np,pl,432,p7
32,D,np,pl,416,p7
1,E,np,sg,720,p7
2,E,np,sg,1312,p7
3,E,np,sg,1952,p7
4,E,np,sg,888,p7
5,E,np,sg,1951,p7
6,E,np,sg,3272,p7
7,E,np,sg,392,p7
8,E,np,sg,1584,p7
9,E,np,sg,392,p7
10,E,np,sg,400,p7
11,E,np,sg,480,p7
12,E,np,sg,560,p7
13,E,np,sg,800,p7
14,E,np,sg,336,p7
15,E,np,sg,455,p7
16,E,np,sg,992,p7
17,E,np,sg,752,p7
18,E,np,sg,616,p7
19,E,np,sg,544,p7
20,E,np,sg,792,p7
21,E,np,sg,1048,p7
22,E,np,sg,544,p7
23,E,np,sg,616,p7
24,E,np,sg,560,p7
25,E,np,sg,280,p7
26,E,np,sg,1504,p7
27,E,np,sg,432,p7
28,E,np,sg,1264,p7
29,E,np,sg,528,p7
30,E,np,sg,592,p7
31,E,np,sg,728,p7
32,E,np,sg,144,p7
1,F,np,sg,560,p7
2,F,np,sg,1879,p7
3,F,np,sg,895,p7
4,F,np,sg,504,p7
5,F,np,sg,647,p7
6,F,np,sg,1520,p7
7,F,np,sg,376,p7
8,F,np,sg,1536,p7
9,F,np,sg,504,p7
10,F,np,sg,616,p7
11,F,np,sg,1648,p7
12,F,np,sg,1144,p7
13,F,np,sg,2064,p7
14,F,np,sg,567,p7
15,F,np,sg,1560,p7
16,F,np,sg,688,p7
17,F,np,sg,1392,p7
18,F,np,sg,704,p7
19,F,np,sg,408,p7
20,F,np,sg,704,p7
21,F,np,sg,1072,p7
22,F,np,sg,616,p7
23,F,np,sg,680,p7
